MODALIDADE;POSIÇÃO;INSTITUIÇÃO FINANCEIRA;TAXAS MÉDIAS (% a.a.);TAXAS MÉDIAS (% a.m.)
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;1;SINOSSERRA S/A - SCFI;2,43;0,2
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;2;DEUTSCHE SPARKASSEN LEASING DO BRASIL BM S.A.;6,43;0,52
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;3;BCO KOMATSU S.A.;10,83;0,86
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;4;BCO VOLVO BRASIL S.A.;15,25;1,19
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;5;BANCO CNH INDUSTRIAL CAPITAL S.A;17,05;1,32
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;6;BANCO TRATON BRASIL S.A.;18,59;1,43
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;7;BCO CATERPILLAR S.A.;19,54;1,5
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;8;BANCO SANY BRASIL S.A.;19,89;1,52
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;9;BCO DE LAGE LANDEN BRASIL S.A.;21,06;1,61
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;10;BCO DO EST. DO PA S.A.;22,04;1,67
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;11;BCO ARBI S.A.;25,06;1,88
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;12;PORTOSEG S.A. CFI;26,16;1,96
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;13;BANCO SICOOB S.A.;27,71;2,06
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;14;BCO BRADESCO S.A.;28,1;2,09
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;15;SANTANDER SCFI S.A.;28,61;2,12
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;16;BCO BANESTES S.A.;29,9;2,2
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;17;BCO BV S.A.;30,55;2,25
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;18;SOLFÁCIL SCFI;30,72;2,26
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;19;BCO DO ESTADO DO RS S.A.;30,82;2,26
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;20;TODESCREDI S/A - CFI;32,77;2,39
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;21;BECKER FINANCEIRA SA - CFI;33,49;2,44
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;22;BARU SCFI S/A;35,23;2,55
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;23;BCO BRADESCO FINANC. S.A.;38,41;2,75
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;24;BCO SOFISA S.A.;42,47;2,99
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;25;BCO DO BRASIL S.A.;43,84;3,08
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;26;BCO RENDIMENTO S.A.;49,63;3,42
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;27;HS FINANCEIRA;52,34;3,57
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;28;LEBES FINANCEIRA S.A. - CFI;57,75;3,87
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;29;CENTROCRED S.A. CFI;73,98;4,72
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;30;KREDILIG S.A. - CFI;74,6;4,75
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;31;CREDIARE CFI S.A.;85,99;5,31
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;32;GRAZZIOTIN FINANCEIRA S/A;89,82;5,49
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;33;VIA CERTA FINANCIADORA S.A. - CFI;105,01;6,17
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;34;AGORACRED S/A SCFI;109,68;6,36
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;35;NEGRESCO S.A. - CFI;112,04;6,46
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;36;BANCO SEMEAR;116,91;6,67
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;37;ZEMA CFI S/A;134,25;7,35
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;38;MERCADO CRÉDITO SCFI S.A.;137,51;7,48
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;39;MAGALUPAY SCFI S.A.;139,69;7,56
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;40;BANCO INTER;143,99;7,72
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;41;COBUCCIO S.A. SCFI;175,2;8,8
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;1;BCO MERCEDES-BENZ S.A.;6,63;0,54
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;2;BMW SA CFI;10,71;0,85
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;3;BCO RCI BRASIL S.A.;12,11;0,96
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;4;BCO STELLANTIS S.A.;12,8;1,01
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;5;CAIXA ECONOMICA FEDERAL;12,84;1,01
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;6;BCO DA AMAZONIA S.A.;14,45;1,13
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;7;BANCO HYUNDAI CAPITAL BRASIL;15,56;1,21
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;8;BCO DIGIMAIS S.A.;16,85;1,31
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;9;BANCO CNH INDUSTRIAL CAPITAL S.A;17,11;1,32
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;10;BCO GM S.A.;17,67;1,37
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;11;BANCO TRATON BRASIL S.A.;18,68;1,44
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;12;STELLANTIS FINANCIAMENTOS CFI;19,84;1,52
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;13;SAFRA SCFI S.A.;22,05;1,67
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;14;BCO VOLKSWAGEN S.A;22,26;1,69
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;15;BCO VOLVO BRASIL S.A.;22,37;1,7
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;16;BCO RODOBENS S.A.;22,86;1,73
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;17;BCO TOYOTA DO BRASIL S.A.;23,25;1,76
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;18;BANCO INTER;23,46;1,77
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;19;BCO BRADESCO S.A.;23,48;1,77
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;20;BCO DO BRASIL S.A.;24,16;1,82
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;21;SINOSSERRA S/A - SCFI;24,28;1,83
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;22;BCO DO EST. DO PA S.A.;24,33;1,83
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;23;BRB - CFI S/A;25,45;1,91
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;24;BCO C6 S.A.;25,62;1,92
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;25;SANTANDER SCFI S.A.;25,79;1,93
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;26;PORTOSEG S.A. CFI;25,92;1,94
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;27;BCO BRADESCO FINANC. S.A.;26,03;1,95
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;28;BCO BRASILEIRO DE CRÉDITO S.A.;27,16;2,02
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;29;ITAÚ UNIBANCO HOLDING S.A.;27,92;2,07
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;30;BCO BANESTES S.A.;30,65;2,25
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;31;BCO VOTORANTIM S.A.;30,68;2,26
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;32;BCO HONDA S.A.;33,9;2,46
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;33;BCO DO ESTADO DO RS S.A.;35,12;2,54
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;34;BCO YAMAHA MOTOR S.A.;35,75;2,58
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;35;AGORACRED S/A SCFI;38,41;2,75
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;36;BANCO PAN;40,75;2,89
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;37;FINAMAX S.A. CFI;43,2;3,04
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;38;BCO DAYCOVAL S.A;46,54;3,24
AQUISIÇÃO DE VEÍCULOS - PREFIXADO;39;OMNI SA CFI;48,61;3,36
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;1;ZEMA CFI S/A;14,9;1,16
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;2;BCO BMG S.A.;35,73;2,58
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;3;BCO MERCANTIL DO BRASIL S.A.;40,77;2,89
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;4;BCO AGIBANK S.A.;41,55;2,94
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;5;BCO DAYCOVAL S.A;46,78;3,25
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;6;VIA CERTA FINANCIADORA S.A. - CFI;50,7;3,48
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;7;BCO INDUSTRIAL DO BRASIL S.A.;51,1;3,5
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;8;BCO ARBI S.A.;64,58;4,24
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;9;BANCO GENIAL;72,75;4,66
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;10;BCO C6 S.A.;90,7;5,53
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;11;BANCO BTG PACTUAL S.A.;97,13;5,82
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;12;KREDILIG S.A. - CFI;100,74;5,98
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;13;BANCO BARI S.A.;102,76;6,07
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;14;HS FINANCEIRA;103,68;6,11
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;15;BRB - BCO DE BRASILIA S.A.;107,73;6,28
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;16;GOLCRED S/A - CFI;116,79;6,66
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;17;BCO DO ESTADO DO RS S.A.;119,68;6,78
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;18;BCO RENDIMENTO S.A.;122,56;6,89
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;19;SCFI EFÍ S.A.;122,57;6,89
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;20;RP FINANCEIRA;124,3;6,96
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;21;BCO BRADESCO S.A.;132,09;7,27
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;22;BCO XP S.A.;135,25;7,39
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;23;BCO DO NORDESTE DO BRASIL S.A.;137;7,46
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;24;PORTOSEG S.A. CFI;141,1;7,61
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;25;BANCO SICOOB S.A.;144,37;7,73
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;26;BCO DO BRASIL S.A.;146,18;7,8
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;27;BCO STELLANTIS S.A.;147,78;7,85
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;28;CARUANA SCFI;152,03;8,01
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;29;PICPAY BANK - BANCO MÚLTIPLO S.A;153;8,04
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;30;CAIXA ECONOMICA FEDERAL;169,52;8,61
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;31;BCO DO EST. DO PA S.A.;171,64;8,68
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;32;BANCO BRADESCARD;172,22;8,7
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;33;NU FINANCEIRA S.A. CFI;179,88;8,96
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;34;BCO TRIANGULO S.A.;182,67;9,05
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;35;BCO SANTANDER (BRASIL) S.A.;184,75;9,11
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;36;BCO SAFRA S.A.;185,58;9,14
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;37;NEON FINANCEIRA - SCFI S.A.;203,11;9,68
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;38;ITAÚ UNIBANCO HOLDING S.A.;208,4;9,84
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;39;BCO AFINZ S.A. - BM;210,76;9,91
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;40;BCO BANESTES S.A.;210,8;9,91
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;41;BCO BV S.A.;211,13;9,92
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;42;BCO CSF S.A.;225,33;10,33
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;43;BCO SOFISA S.A.;227,54;10,39
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;44;BANCO INTER;228,63;10,42
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;45;DM SCFI;242,47;10,8
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;46;BANCO PAN;248,71;10,97
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;47;FIN. ITAU CBD CFI;281,25;11,8
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;48;BANCO INVESTCRED UNIBANCO S.A.;288,89;11,98
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;49;GAZINCRED S.A. SCFI;291,66;12,05
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;50;CREDIARE CFI S.A.;299,7;12,24
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;51;LUIZACRED S.A. SCFI;304,46;12,35
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;52;BANCO DIGIO;321,52;12,74
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;53;CALCRED S.A.;326,83;12,86
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;54;BCO CREFISA S.A.;351,96;13,39
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;55;PEFISA S.A. - C.F.I.;405,98;14,47
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;56;BCO SENFF S.A.;409,26;14,53
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;57;MIDWAY S.A. - SCFI;437,3;15,04
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;58;MERCADO CRÉDITO SCFI S.A.;465,22;15,53
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;59;REALIZE SCFI S.A.;507,23;16,22
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO;60;BCO DO EST. DE SE S.A.;747,34;19,49
CARTÃO DE CRÉDITO - ROTATIVO TOTAL - PREFIXADO;1;ZEMA CFI S/A;4,13;0,34
CARTÃO DE CRÉDITO - ROTATIVO TOTAL - PREFIXADO;2;BCO INDUSTRIAL DO BRASIL S.A.;71,05;4,58
CARTÃO DE CRÉDITO - ROTATIVO TOTAL - PREFIXADO;3;BCO DAYCOVAL S.A;75,34;4,79
CARTÃO DE CRÉDITO - ROTATIVO TOTAL - PREFIXADO;4;BCO MERCANTIL DO BRASIL S.A.;89,75;5,48
